beds,baths,area,distance,price,price_bucket
0.0,1.0,352.0,6.274275476884526,319900.0,price < 600k
9.0,6.0,4706.0,16.80449866324615,1598000.0,price >= 900k
2.0,2.0,1353.0,8.787683399633417,581000.0,price < 600k
1.0,1.0,822.0,1.9271748301599743,1195000.0,price >= 900k
0.0,1.0,365.0,6.667549303504764,295000.0,price < 600k
3.0,3.0,1695.0,17.22175075698432,1100000.0,price >= 900k
3.0,2.0,1700.0,6.478557758465821,599988.0,price < 600k
4.0,3.0,3000.0,31.930465812709787,1089000.0,price >= 900k
2.0,2.0,1288.0,7.806206576289718,599900.0,price < 600k
4.0,4.0,2945.0,15.510510286207465,1575000.0,price >= 900k
5.0,5.0,4001.0,16.766702198122662,1879000.0,price >= 900k
2.0,1.0,758.0,1.373128535918749,975000.0,price >= 900k
3.0,2.0,1586.0,31.914097682878044,335000.0,price < 600k
2.0,2.0,1131.0,1.2861348669814077,1495000.0,price >= 900k
4.0,4.0,3226.0,20.064521551518716,1995000.0,price >= 900k
6.0,6.0,4364.0,22.094079065118084,1495000.0,price >= 900k
2.0,2.0,1380.0,4.977799436991639,669000.0,600k <= price < 900k
2.0,5.0,2418.0,8.385802657975132,899999.0,600k <= price < 900k
0.0,1.0,513.0,2.3866177256417975,564300.0,price < 600k
2.0,1.0,766.0,2.7373553905001353,510000.0,price < 600k
5.0,5.0,3721.0,11.6271211847474,1635000.0,price >= 900k
3.0,1.0,832.0,7.257096418350613,449000.0,price < 600k
7.0,4.0,3236.0,6.113617051235108,1695000.0,price >= 900k
2.0,3.0,1604.0,29.743716799039063,549000.0,price < 600k
1.0,2.0,1144.0,13.722931024686012,399900.0,price < 600k
4.0,3.0,3350.0,20.65440565915234,1425000.0,price >= 900k
4.0,5.0,4100.0,29.14401424284109,1249000.0,price >= 900k
4.0,2.0,2532.0,5.9994660781587825,899900.0,600k <= price < 900k
2.0,2.0,1326.0,16.959775079214687,389900.0,price < 600k
2.0,1.0,800.0,14.708464446458482,329900.0,price < 600k
2.0,1.0,856.0,16.39920713017672,349900.0,price < 600k
6.0,6.0,6000.0,21.31493188680916,2750000.0,price >= 900k
3.0,2.0,1701.0,20.209147671362235,1100000.0,price >= 900k
2.0,1.0,825.0,4.603887294324594,599000.0,price < 600k
2.0,3.0,2508.0,13.245570068941525,495900.0,price < 600k
5.0,5.0,3205.0,1.8262922947821956,3200000.0,price >= 900k
6.0,5.0,10000.0,19.91993005490279,4595000.0,price >= 900k
5.0,2.0,2679.0,7.530421975328481,849900.0,600k <= price < 900k
1.0,1.0,639.0,13.890137721542281,359999.0,price < 600k
5.0,7.0,6105.0,20.283400640361908,4895000.0,price >= 900k
1.0,1.0,666.0,3.423234668764466,549000.0,price < 600k
2.0,2.0,1159.0,4.9214354456372345,589900.0,price < 600k
7.0,5.0,3630.0,22.973074365388626,919000.0,price >= 900k
4.0,4.0,3379.0,25.962641146332,1275000.0,price >= 900k
4.0,3.0,2646.0,17.051362875358087,1295000.0,price >= 900k
3.0,3.0,2350.0,20.98733609931279,939900.0,price >= 900k
3.0,2.0,1611.0,20.15502143246977,749000.0,600k <= price < 900k
2.0,2.0,1318.0,1.3739116291436,1195000.0,price >= 900k
3.0,4.0,2208.0,11.042738979351167,960000.0,price >= 900k
2.0,1.0,1092.0,15.556687428515636,449900.0,price < 600k
3.0,2.0,1337.0,13.77921475281431,549900.0,price < 600k
7.0,3.0,3833.0,7.73654872460171,1150000.0,price >= 900k
5.0,5.0,3793.0,8.792538250341703,1399900.0,price >= 900k
1.0,1.0,693.0,24.75846477821675,388888.0,price < 600k
2.0,1.0,1364.0,25.00725873969443,509000.0,price < 600k
3.0,2.0,1504.0,14.47938447975619,599990.0,price < 600k
4.0,3.0,2206.0,10.330577649409628,1399000.0,price >= 900k
4.0,2.0,2394.0,9.064439879832738,937000.0,price >= 900k
2.0,1.0,796.0,15.85051711709428,395000.0,price < 600k
4.0,3.0,2930.0,17.46293702676106,1199000.0,price >= 900k
3.0,1.0,1080.0,24.63091923168669,579900.0,price < 600k
4.0,2.0,2277.0,15.830923658606801,399900.0,price < 600k
3.0,1.0,1116.0,16.50345526329599,649000.0,600k <= price < 900k
4.0,2.0,1313.0,13.208582154217746,599000.0,price < 600k
3.0,2.0,2294.0,9.145052657103989,979900.0,price >= 900k
3.0,2.0,1558.0,13.505520376072003,500000.0,price < 600k
1.0,1.0,575.0,10.194091156218553,290000.0,price < 600k
9.0,9.0,4566.0,8.20554350330791,1800000.0,price >= 900k
2.0,2.0,1474.0,5.093292644509891,800000.0,600k <= price < 900k
6.0,7.0,7070.0,19.488786098345184,3995000.0,price >= 900k
