player_id,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,salary2022-2023_mill
smartma01,Marcus Smart,PG,27,BOS,71,71,2296,6.5,15.5,0.418,2.6,7.8,0.331,3.9,7.7,0.506,3.1,3.9,0.793,0.9,4.9,5.8,9.0,2.6,0.4,3.4,3.5,18.6,110.0,107,17.207142
smithde03,Dennis Smith Jr.,PG,24,POR,37,4,638,6.0,14.5,0.418,0.5,2.1,0.222,5.6,12.4,0.451,3.2,4.9,0.656,1.5,5.2,6.7,10.1,3.4,0.9,3.9,4.0,15.8,101.0,114,1.83609
stevela01,Lamar Stevens,PF,24,CLE,63,13,1015,7.7,15.7,0.489,0.9,3.2,0.277,6.8,12.5,0.543,2.6,3.7,0.707,2.3,5.8,8.1,2.2,1.5,0.9,2.0,5.2,18.8,107.0,110,1.782621
stewais01,Isaiah Stewart,C,20,DET,71,71,1816,6.7,13.2,0.51,0.4,1.2,0.326,6.3,11.9,0.529,2.0,2.8,0.718,6.1,10.5,16.6,2.2,0.6,2.1,2.3,5.7,15.8,113.0,112,3.43332
strusma01,Max Strus,SF,25,MIA,68,16,1587,7.8,17.8,0.441,5.7,13.9,0.41,2.1,3.8,0.557,1.3,1.7,0.792,0.8,5.6,6.4,2.9,0.9,0.5,1.8,3.7,22.7,116.0,112,1.815677
suggsja01,Jalen Suggs,PG,20,ORL,48,45,1307,7.3,20.3,0.361,1.6,7.3,0.214,5.8,13.0,0.443,4.7,6.0,0.773,1.0,5.4,6.3,7.7,2.2,0.7,5.3,5.3,20.9,88.0,112,6.92232
tateja01,Jae'Sean Tate,PF,26,HOU,78,77,2056,8.4,16.9,0.498,1.5,4.7,0.312,6.9,12.2,0.569,3.0,4.3,0.707,3.1,6.6,9.7,5.1,1.7,0.9,3.2,6.6,21.3,111.0,116,7.065217
tatumja01,Jayson Tatum,SF,23,BOS,76,76,2731,12.9,28.5,0.453,4.2,11.8,0.353,8.7,16.6,0.524,7.3,8.5,0.853,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,113.0,106,30.35178
taylote01,Terry Taylor,SG,22,IND,33,7,714,9.3,15.1,0.614,0.8,2.6,0.316,8.4,12.5,0.676,2.5,3.5,0.706,6.5,5.3,11.8,2.8,1.0,0.5,1.6,4.2,21.8,135.0,119,1.563518
templga01,Garrett Temple,SG,35,NOP,59,16,1098,5.0,13.3,0.376,2.7,8.3,0.319,2.3,4.9,0.473,1.3,1.8,0.683,1.3,5.1,6.4,3.3,1.9,1.0,1.9,3.6,13.9,101.0,113,5.1555
thomaca02,Cam Thomas,SG,20,BRK,67,2,1176,9.0,20.7,0.433,1.9,7.2,0.27,7.0,13.6,0.52,3.6,4.3,0.829,0.7,6.0,6.6,3.2,1.4,0.3,2.3,2.7,23.5,103.0,115,2.13816
thompkl01,Klay Thompson,SG,31,GSW,32,32,941,12.7,29.7,0.429,5.9,15.3,0.385,6.8,14.4,0.477,2.4,2.6,0.902,0.8,5.7,6.5,4.6,0.8,0.9,2.2,2.8,33.8,107.0,110,40.60008
thorjt01,JT Thor,PF,19,CHO,33,0,262,4.4,10.1,0.436,1.3,4.9,0.259,3.1,5.1,0.607,2.2,3.7,0.6,2.0,5.9,7.9,3.5,1.5,2.0,1.8,4.8,12.3,108.0,114,1.563518
thybuma01,Matisse Thybulle,SG,24,PHI,66,50,1685,4.4,8.9,0.5,1.3,4.3,0.313,3.1,4.6,0.673,1.0,1.3,0.791,1.2,3.2,4.5,2.2,3.4,2.1,1.2,4.7,11.2,116.0,108,4.379527
tillmxa01,Xavier Tillman Sr.,PF,23,MEM,53,2,701,6.7,14.7,0.454,0.7,3.3,0.204,6.0,11.4,0.527,3.1,4.8,0.648,4.5,6.5,11.0,4.2,3.3,1.0,2.3,4.3,17.2,112.0,107,1.782621
